Common Name,Scientific Name
hedge false bindweed,Calystegia sepium ssp. limnophila
seashore false bindweed,Calystegia soldanella
littlepod false flax,Camelina microcarpa
southern suncup,Camissonia bistorta
yellow cups,Camissonia brevipes
California suncup,Camissonia californica
Mojave suncup,Camissonia campestris
beach suncup,Camissonia cheiranthifolia
beach suncup,Camissonia cheiranthifolia ssp. suffruticosa
San Bernardino suncup,Camissonia confusa
Santa Cruz Island suncup,Camissonia hirtella
Jurupa Hills suncup,Camissonia ignota
intermediate suncup,Camissonia intermedia
Lewis' evening primrose,Camissonia lewisii
miniature suncup,Camissonia micrantha
sandysoil suncup,Camissonia strigulosa
Jack Bean,Canavalia ensiformis
Sword Bean,Canavalia gladiata
Edible Canna,Canna edulis
shepherd's purse,Capsella bursa-pastoris
Pepper,Capsicum annuum
milkmaids,Cardamine californica
milkmaids,Cardamine californica var. californica
lenspod whitetop,Cardaria chalepensis
whitetop,Cardaria draba
hairy whitetop,Cardaria pubescens
sandcarpet,Cardionema ramosissimum
Italian plumeless thistle,Carduus pycnocephalus
winged plumeless thistle,Carduus tenuiflorus
Santa Barbara sedge,Carex barbarae
Copper-Shouldered Oval Sedge,Carex bicknellii
Plains Oval Sedge,Carex brevior
clustered field sedge,Carex praegracilis
Schott's sedge,Carex schottii
triangularfruit sedge,Carex triquetra
Chamburro Mountain Papaya,Carica Papaya
sea fig,Carpobrotus chilensis
hottentot fig,Carpobrotus edulis
woolly distaff thistle,Carthamus lanatus
woolly distaff thistle,Carthamus lanatus ssp. creticus
White Sapote,Casimiroa edulis
White Sapote,Casimiroa edulis
Golden Shower Tree,Cassia fistula
Pink Shower Tree,Cassia grandis
American chesnut,Castanea dentata
coast Indian paintbrush,Castilleja affinis
denseflower Indian paintbrush,Castilleja densiflora
denseflower Indian paintbrush,Castilleja densiflora ssp. gracilis
exserted Indian paintbrush,Castilleja exserta
Texas Indian paintbrush,Castilleja foliolosa
lesser Indian paintbrush,Castilleja minor
lesser Indian paintbrush,Castilleja minor ssp. spiralis
She-oak,Casuarina equisetifolia
Periwinkle (Vinca),Catharanthus roseus
wild cabbage,Caulanthus
claspingleaf wild cabbage,Caulanthus amplexicaulis
San Diego wild cabbage,Caulanthus heterophyllus
killer alga,Caulerpa taxifolia
Catalina Mountain Lilac,Ceanothus arboreus
Hoaryleaf Ceanothus,Ceanothus crassifolius
buckbrush,Ceanothus cuneatus
Cropleaf Ceanothus,Ceanothus divergens
Santa Barbara Ceanothus,Ceanothus impressus
deerbrush,Ceanothus integerrimus
chaparral whitethorn,Ceanothus leucodermis
Maritime Ceanothus,Ceanothus maritimus
bigpod ceanothus,Ceanothus megacarpus
Bigpod Ceanothus,Ceanothus megacarpus
Hairy Ceanothus,Ceanothus oliganthus
Palmer ceanothus,Ceanothus palmeri
wartleaf ceanothus,Ceanothus papillosus
wartleaf ceanothus,Ceanothus papillosus var. roweanus
Squaw Carpet,Ceanothus prostratus
Hollyleaf Ceanothus,Ceanothus purpureus
jimbrush,Ceanothus sorediatus
redheart,Ceanothus spinosus
woolyleaf ceanothus,Ceanothus tomentosus
Hackberry,Celtis occidentalis 
Chinese hackberry,Celtis sinensis
coastal sandbur,Cenchrus spinifex
Maltese star-thistle,Centaurea melitensis
charming centaury,Centaurium venustum
red valerian,Centranthus ruber
pappose tarweed,Centromadia parryi
pappose tarweed,Centromadia parryi ssp. australis
common tarweed,Centromadia pungens
common tarweed,Centromadia pungens ssp. laevis
sticky chickweed,Cerastium glomeratum
Carob,Ceratonia siliqua
Carob,Ceratonia siliqua
coon's tail,Ceratophyllum demersum
Eastern Redbud,Cercis canadensis 
alderleaf mountain mahogany,Cercocarpus montanus
alderleaf mountain mahogany,Cercocarpus montanus
birchleaf mountain mahogany,Cercocarpus montanus var. glaber
smooth mountain mahogany,Cercocarpus montanus var. minutiflorus
night jessamine,Cestrum nocturnum
white pincushion,Chaenactis artemisiifolia
yellow pincushion,Chaenactis glabriuscula
yellow pincushion,Chaenactis glabriuscula var. glabriuscula
yellow pincushion,Chaenactis glabriuscula var. lanosa
Orcutt's yellow pincushion,Chaenactis glabriuscula var. orcuttiana
"Palm, Parlor",Chamaedorea elegans
"Palm, Bamboo",Chamaedorea seifrizii
whitemargin sandmat,Chamaesyce albomarginata
spotted sandmat,Chamaesyce maculata
smallseed sandmat,Chamaesyce polycarpa
