Common Name,Scientific Name
white panicle aster,Symphyotrichum lanceolatum
white panicle aster,Symphyotrichum lanceolatum ssp. hesperium
white panicle aster,Symphyotrichum lanceolatum ssp. hesperium var. hesperium
Arrowhead Vine,Syngonium podophyllum
Tamarind,Tamarindus indica
five-stamen tamarisk,Tamarix chinensis
feverfew,Tanacetum parthenium
common dandelion,Taraxacum officinale
southern umbrellawort,Tauschia arguta
Parish's umbrellawort,Tauschia parishii
red shrubby-spurge,Tetracoccus dioicus
hairy horsebrush,Tetradymia comosa
New Zealand Spinach,Tetragonia tetragonioides
Fendler's meadow-rue,Thalictrum fendleri
Fendler's meadow-rue,Thalictrum fendleri var. polycarpum
Hopi tea greenthread,Thelesperma megapotamicum
mountain fringepod,Thysanocarpus laciniatus
Mexican Sunflower,Tithonia diversifolia
Pacific poison oak,Toxicodendron diversilobum
salsify,Tragopogon porrifolius
puncturevine,Tribulus terrestris
Woolly Bluecurls,Trichostema lanatum
vinegarweed,Trichostema lanceolatum
Parish's bluecurls,Trichostema parishii
rancheria clover,Trifolium albopurpureum
foothill clover,Trifolium ciliolatum
cowbag clover,Trifolium depauperatum
balloon sack clover,Trifolium depauperatum var. stenophyllum
bull clover,Trifolium fucatum
Chilean clover,Trifolium macraei
smallhead clover,Trifolium microcephalum
thimble clover,Trifolium microdon
clammy clover,Trifolium obtusiflorum
white clover,Trifolium repens
tomcat clover,Trifolium willdenovii
cows clover,Trifolium wormskioldii
slender arrowgrass,Triglochin concinna
seaside arrowgrass,Triglochin maritima
Winter Wheat,Triticum aestivum
American threefold,Trixis californica
nasturtium,Tropaeolum majus
narrowleaf cattail,Typha angustifolia
southern cattail,Typha domingensis
broadleaf cattail,Typha latifolia
Chilean Guava or Strawberry Myrtle,Ugni molinae
California laurel,Umbellularia californica
stinging nettle,Urtica dioica
stinging nettle,Urtica dioica ssp. holosericea
dwarf nettle,Urtica urens
American eelgrass,Vallisneria americana
canyon sunflower,Venegasia carpesioides
common mullein,Verbascum thapsus
bigbract verbena,Verbena bracteata
western vervain,Verbena lasiostachys
mint vervain,Verbena menthifolia
sandpaper vervain,Verbena scabra
bigleaf crownbeard,Verbesina dissita
water speedwell,Veronica anagallis-aquatica
neckweed,Veronica peregrina
hairy purslane speedwell,Veronica peregrina ssp. xalapensis
American vetch,Vicia americana
purple vetch,Vicia benghalensis
bird vetch,Vicia cracca ssp. cracca
torhleaf goldeneye,Viguiera laciniata
Parish's goldeneye,Viguiera parishii
bigleaf periwinkle,Vinca major
Johnny-jump-up,Viola pedunculata
Downy Yellow Violet,Viola pubescens
goosefoot violet,Viola purpurea
goosefoot violet,Viola purpurea ssp. quercetorum
Shelton's violet,Viola sheltonii
desert wild grape,Vitis girdiana
Grape,Vitis vinifera
annual fescue,Vulpia myuros
California fan palm,Washingtonia filifera
tongueshape bogmat,Wolffiella lingulata
spiny cocklebur,Xanthium spinosum
rough cocklebur,Xanthium strumarium
Canada cocklebur,Xanthium strumarium var. canadense
Yellowhorn,Xanthoceras sorbifolium
false carrot,Yabea microcarpa
Yucca (banana yucca),Yucca baccata
horned pondweed,Zannichellia palustris
Fremont's deathcamas,Zigadenus fremontii
Jujube,Ziziphus jujuba
Parry's jujube,Ziziphus parryi
seawrack,Zostera marina
