Scientific Name,Common Name,Genus,Family,Four o'clock family,Duration,Growth Habit,Fact Sheets,Plant Guides,Characteristics Data,Cultivar Name,Active Growth Period,Bloat,Coppice Potential,Fire Resistance,Flower Color,Flower Conspicuous,Foliage Color,Foliage Porosity Summer,Fruit Color,Fruit Conspicuous,"Height, Mature (feet)",Known Allelopath,Leaf Retention,Lifespan,Nitrogen Fixation,Shape and Orientation,Toxicity,Drought Tolerance,Fertility Requirement,Moisture Use,pH (Minimum),pH (Maximum),Salinity Tolerance,Shade Tolerance,Fruit/Seed Period End,Berry/Nut/Seed Product,Christmas Tree Product,Fodder Product,Fuelwood Product,Lumber Product,Naval Store Product,Post Product,Pulpwood Product,Veneer Product
Agrostis stolonifera,creeping bentgrass,Agrostis,Poaceae,Grass family,Perennial,Graminoid,,,Yes,Southshore,Summer,None,No,No,Yellow,No,Green,Moderate,Brown,No,2,No,No,Short,None,Erect,None,Low,High,High,5,7.5,High,Intolerant,Summer,No,No,No,,No,No,No,No,No
Agrostis stolonifera var. compacta,,Agrostis,Poaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis stolonifera var. palustris,,Agrostis,Poaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis ventricosa,,Agrostis,Poaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis verticillata,,Agrostis,Poaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis viridis,,Agrostis,Poaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima,tree of heaven,Ailanthus,Simaroubaceae,Quassia family,Perennial,Tree,,,Yes,,Spring and Summer,None,Yes,No,Green,Yes,Green,Moderate,Yellow,Yes,55,Yes,No,Short,None,Rounded,Moderate,Medium,Low,Medium,4.1,7.9,Medium,Intolerant,Fall,No,No,No,Low,Yes,No,No,No,Yes
Ailanthus glandulosa,,Ailanthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aira holciformis,,Aira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchemilla arvensis,,Alchemilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchemilla cuneifolia,,Alchemilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchemilla occidentalis,,Alchemilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alhagi camelorum,,Alhagi,Fabaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alhagi maurorum,camelthorn,Alhagi,Fabaceae,Pea family,Perennial,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alhagi pseudalhagi,,Alhagi,Fabaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allionia decumbens,,Allionia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allionia gausapoides,,Allionia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allionia linearis,,Allionia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allium croceum,,Allium,Liliaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allium fimbriatum,fringed onion,Allium,Liliaceae,Lily family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allium fimbriatum var. fimbriatum,fringed onion,Allium,Liliaceae,Lily family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allium haematochiton,redskin onion,Allium,Liliaceae,Lily family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allium marvinii,,Allium,Liliaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allium monticola,San Bernardino Mountain onion,Allium,Liliaceae,Lily family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allium monticola var. keckii,,Allium,Liliaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allium parishii var. keckii,,Allium,Liliaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allium peninsulare,Mexicali onion,Allium,Liliaceae,Lily family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allium praecox,early onion,Allium,Liliaceae,Lily family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allocarya acanthocarpa,,Allocarya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allocarya californica var. minuta,,Allocarya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allocarya cooperi,,Allocarya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allophyllum glutinosum,sticky false gilyflower,Allophyllum,Polemoniaceae,Phlox family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus rhombifolia,white alder,Alnus,Betulaceae,Birch family,Perennial,Tree,,,Yes,,Spring and Summer,None,No,No,Green,No,Green,Moderate,Brown,No,65,No,No,Long,Low,Erect,None,Low,Low,High,4.8,7.5,None,Tolerant,Summer,No,No,No,Medium,Yes,Yes,Yes,Yes,Yes
Alnus rhombifolia var. bernardina,,Alnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alopecurus monspeliensis,,Alopecurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alyssum maritimum,,Alyssum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus albus,prostrate pigweed,Amaranthus,Amaranthaceae,Amaranth family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus albus var. pubescens,,Amaranthus,Amaranthaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus blitoides,mat amaranth,Amaranthus,Amaranthaceae,Amaranth family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus chlorostachys,,Amaranthus,Amaranthaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus deflexus,largefruit amaranth,Amaranthus,Amaranthaceae,Amaranth family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus graecizans,,Amaranthus,Amaranthaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus graecizans var. pubescens,,Amaranthus,Amaranthaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus hybridus,slim amaranth,Amaranthus,Amaranthaceae,Amaranth family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus incurvatus,,Amaranthus,Amaranthaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus palmeri,carelessweed,Amaranthus,Amaranthaceae,Amaranth family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus patulus,,Amaranthus,Amaranthaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus pubescens,,Amaranthus,Amaranthaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus retroflexus,redroot amaranth,Amaranthus,Amaranthaceae,Amaranth family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus retroflexus var. salicifolius,,Amaranthus,Amaranthaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
