Scientific Name,Common Name,Genus,Family,Family Common Name,Duration,Growth Habit,Fact Sheets,Plant Guides,Characteristics Data,Cultivar Name,Active Growth Period,Bloat,Coppice Potential,Fire Resistance,Flower Color,Flower Conspicuous,Foliage Color,Foliage Porosity Summer,Fruit Color,Fruit Conspicuous,"Height, Mature (feet)",Known Allelopath,Leaf Retention,Lifespan,Nitrogen Fixation,Shape and Orientation,Toxicity,Drought Tolerance,Fertility Requirement,Moisture Use,pH (Minimum),pH (Maximum),Salinity Tolerance,Shade Tolerance,Fruit/Seed Period End,Berry/Nut/Seed Product,Christmas Tree Product,Fodder Product,Fuelwood Product,Lumber Product,Naval Store Product,Post Product,Pulpwood Product,Veneer Product
Ammi visnaga,toothpickweed,Ammi,Apiaceae,Carrot family,Biennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visnaga daucoides,,Visnaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amorpha,false indigo,Amorpha,Fabaceae,Pea family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amorpha californica,California false indigo,Amorpha,Fabaceae,Pea family,Perennial,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amorpha californica var. californica,California false indigo,Amorpha,Fabaceae,Pea family,Perennial,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amorpha californica var. hispidula,,Amorpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amorpha fruticosa,false indigo bush,Amorpha,Fabaceae,Pea family,Perennial,Shrub,,../plantguide/pdf/pg_amfr.pdf,Yes,,Spring and Summer,None,Yes,No,Purple,No,Green,Dense,Brown,Yes,15,No,No,Moderate,Medium,Climbing,Slight,Medium,Low,Low,5,8.5,Low,Intolerant,Fall,No,No,No,,No,No,No,No,No
Amorpha fruticosa,false indigo bush,Amorpha,Fabaceae,Pea family,Perennial,Shrub,,../plantguide/pdf/pg_amfr.pdf,Yes,Dark Lance,Summer,None,Yes,No,Purple,Yes,Yellow-Green,Dense,Brown,No,15,No,No,Moderate,Medium,Rounded,Slight,Medium,Low,High,5,8.5,Medium,Intolerant,Fall,No,No,No,,No,No,No,No,No
Amorpha angustifolia,,Amorpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amorpha bushii,,Amorpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
