Scientific Name,Common Name,Genus,Family,Family Common Name,Duration,Growth Habit,Fact Sheets,Plant Guides,Characteristics Data,Cultivar Name,Active Growth Period,Bloat,Coppice Potential,Fire Resistance,Flower Color,Flower Conspicuous,Foliage Color,Foliage Porosity Summer,Fruit Color,Fruit Conspicuous,"Height, Mature (feet)",Known Allelopath,Leaf Retention,Lifespan,Nitrogen Fixation,Shape and Orientation,Toxicity,Drought Tolerance,Fertility Requirement,Moisture Use,pH (Minimum),pH (Maximum),Salinity Tolerance,Shade Tolerance,Fruit/Seed Period End,Berry/Nut/Seed Product,Christmas Tree Product,Fodder Product,Fuelwood Product,Lumber Product,Naval Store Product,Post Product,Pulpwood Product,Veneer Product
Lupinus micranthus var. pachylobus,,Lupinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupinus sparsiflorus,Coulter's lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupinus subvexus,valley lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupinus subvexus var. subvexus,valley lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupinus microcarpus,,Lupinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupinus microcarpus var. microcarpus,,Lupinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupinus subvexus var. insularis,,Lupinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupinus subvexus var. nigrescens,,Lupinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupinus succulentus,hollowleaf annual lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupinus succulentus var. layneae,,Lupinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupinus truncatus,collared annual lupine,Lupinus,Fabaceae,Pea family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupinus truncatus var. burlewii,,Lupinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lychnis,campion,Lychnis,Caryophyllaceae,Pink family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lychnis coronaria,rose campion,Lychnis,Caryophyllaceae,Pink family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostemma coronaria,,Agrostemma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronaria coriacea,,Coronaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silene coronaria,,Silene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycium,desert-thorn,Lycium,Solanaceae,Potato family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycium brevipes,Baja desert-thorn,Lycium,Solanaceae,Potato family,Perennial,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycium brevipes var. brevipes,,Lycium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycium richii,,Lycium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycium verrucosum,,Lycium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycium californicum,California desert-thorn,Lycium,Solanaceae,Potato family,Perennial,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycium californicum var. californicum,California desert-thorn,Lycium,Solanaceae,Potato family,Perennial,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycopus,waterhorehound,Lycopus,Lamiaceae,Mint family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycopus americanus,American water horehound,Lycopus,Lamiaceae,Mint family,Perennial,Forb/herb,,,Yes,,Summer and Fall,None,No,No,White,No,Green,Moderate,Brown,No,1.8,No,No,Long,None,Erect,None,Low,Medium,High,5.2,7.8,Low,Tolerant,Fall,No,No,No,,No,No,No,No,No
Lycopus americanus var. longii,,Lycopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycopus americanus var. scabrifolius,,Lycopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycopus sinuatus,,Lycopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lythrum,loosestrife,Lythrum,Lythraceae,Loosestrife family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lythrum californicum,California loosestrife,Lythrum,Lythraceae,Loosestrife family,Perennial,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lythrum hyssopifolium,hyssop loosestrife,Lythrum,Lythraceae,Loosestrife family,"Annual, Biennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lythrum adsurgens,,Lythrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lythrum hyssopifolia,,Lythrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madia,tarweed,Madia,Asteraceae,Aster family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madia gracilis,grassy tarweed,Madia,Asteraceae,Aster family,Annual,Forb/herb,,../plantguide/pdf/pg_magr3.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madia dissitiflora,,Madia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madia gracilis ssp. collina,,Madia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madia gracilis ssp. pilosa,,Madia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malacothamnus,bushmallow,Malacothamnus,Malvaceae,Mallow family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malacothamnus densiflorus,yellowstem bushmallow,Malacothamnus,Malvaceae,Mallow family,Perennial,"Subshrub, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malacothamnus densiflorus var. viscidus,,Malacothamnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvastrum densiflorum,,Malvastrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvastrum densiflorum var. viscidum,,Malvastrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malacothamnus fasciculatus,Mendocino bushmallow,Malacothamnus,Malvaceae,Mallow family,Perennial,"Subshrub, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malacothamnus arcuatus,,Malacothamnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malacothamnus fasciculatus ssp. catalinensis,,Malacothamnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malacothamnus fasciculatus ssp. laxiflorus,,Malacothamnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malacothamnus fasciculatus var. catalinensis,,Malacothamnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malacothamnus fasciculatus var. laxiflorus,,Malacothamnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malacothamnus fasciculatus var. nesioticus,,Malacothamnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malacothamnus fasciculatus var. nuttallii,,Malacothamnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malacothamnus hallii,,Malacothamnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malacothamnus mendocinensis,,Malacothamnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malacothamnus parishii,,Malacothamnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malva fasciculata,,Malva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvastrum arcuatum,,Malvastrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvastrum fasciculatum,,Malvastrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvastrum fasciculatum var. laxiflorum,,Malvastrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvastrum hallii,,Malvastrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvastrum mendocinense,,Malvastrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvastrum nesioticum,,Malvastrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvastrum nesioticum var. nuttallii,,Malvastrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malacothrix,desertdandelion,Malacothrix,Asteraceae,Aster family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malacothrix glabrata,smooth desertdandelion,Malacothrix,Asteraceae,Aster family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malacothrix californica var. glabrata,,Malacothrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malacothrix saxatilis,cliff desertdandelion,Malacothrix,Asteraceae,Aster family,Perennial,"Subshrub, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malacothrix saxatilis var. tenuifolia,cliff desertdandelion,Malacothrix,Asteraceae,Aster family,Perennial,"Subshrub, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malacothrix altissima,,Malacothrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malacothrix saxatilis var. altissima,,Malacothrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malacothrix saxatilis var. tenuissima,,Malacothrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malacothrix tenuifolia,,Malacothrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malephora,malephora,Malephora,Aizoaceae,Fig-marigold family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malephora crocea,coppery mesemb,Malephora,Aizoaceae,Fig-marigold family,Perennial,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malosma,laurel sumac,Malosma,Anacardiaceae,Sumac family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malosma laurina,laurel sumac,Malosma,Anacardiaceae,Sumac family,Perennial,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhus laurina,,Rhus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malva,mallow,Malva,Malvaceae,Mallow family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malva neglecta,common mallow,Malva,Malvaceae,Mallow family,"Annual, Biennial, Perennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malva rotundifolia,,Malva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malva nicaeensis,bull mallow,Malva,Malvaceae,Mallow family,"Annual, Biennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malva arvensis,,Malva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malva parviflora,cheeseweed mallow,Malva,Malvaceae,Mallow family,"Annual, Biennial, Perennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvella,mallow,Malvella,Malvaceae,Mallow family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvella leprosa,alkali mallow,Malvella,Malvaceae,Mallow family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sida hederacea,,Sida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sida leprosa,,Sida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sida leprosa var. hederacea,,Sida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marah,manroot,Marah,Cucurbitaceae,Cucumber family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marah macrocarpus,Cucamonga manroot,Marah,Cucurbitaceae,Cucumber family,Perennial,"Vine, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marrubium,horehound,Marrubium,Lamiaceae,Mint family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marrubium vulgare,horehound,Marrubium,Lamiaceae,Mint family,Perennial,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsilea,waterclover,Marsilea,Marsileaceae,Water-clover family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsilea drummondii,nardoo,Marsilea,Marsileaceae,Water-clover family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsilea vestita,hairy waterclover,Marsilea,Marsileaceae,Water-clover family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsilea fournieri,,Marsilea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsilea minuta,,Marsilea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsilea mucronata,,Marsilea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsilea tenuifolia,,Marsilea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsilea uncinata,,Marsilea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsilea vestita ssp. tenuifolia,,Marsilea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsilea vestita ssp. vestita,,Marsilea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsilea vestita var. mucronata,,Marsilea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matricaria,mayweed,Matricaria,Asteraceae,Aster family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matricaria discoidea,disc mayweed,Matricaria,Asteraceae,Aster family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemisia matricarioides,,Artemisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chamomilla suaveolens,,Chamomilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidanthus suaveolens,,Lepidanthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidotheca suaveolens,,Lepidotheca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matricaria matricarioides,,Matricaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matricaria suaveolens,,Matricaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santolina suaveolens,,Santolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanacetum suaveolens,,Tanacetum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matricaria occidentalis,valley mayweed,Matricaria,Asteraceae,Aster family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chamomilla occidentalis,,Chamomilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthiola,stock,Matthiola,Brassicaceae,Mustard family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthiola incana,tenweeks stock,Matthiola,Brassicaceae,Mustard family,"Annual, Biennial, Perennial","Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mazus,mazus,Mazus,Scrophulariaceae,Figwort family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mazus pumilus,Japanese mazus,Mazus,Scrophulariaceae,Figwort family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mazus japonicus,,Mazus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meconella,fairypoppy,Meconella,Papaveraceae,Poppy family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meconella denticulata,smallflower fairypoppy,Meconella,Papaveraceae,Poppy family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meconella oregana var. denticulata,,Meconella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicago,alfalfa,Medicago,Fabaceae,Pea family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicago lupulina,black medick,Medicago,Fabaceae,Pea family,"Annual, Perennial",Forb/herb,,,Yes,,"Fall, Winter and Spring",Low,No,No,Yellow,No,Dark Green,Porous,Brown,Yes,2,No,No,Short,Medium,Decumbent,None,None,Medium,Medium,5.5,8,Low,Intolerant,Fall,No,No,Yes,,No,No,No,No,No
Medicago lupulina var. cupaniana,,Medicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicago lupulina var. glandulosa,,Medicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicago minima,little bur-clover,Medicago,Fabaceae,Pea family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicago minima var. compacta,,Medicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicago minima var. longiseta,,Medicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicago minima var. pubescens,,Medicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicago polymorpha,burclover,Medicago,Fabaceae,Pea family,"Annual, Perennial",Forb/herb,../factsheet/pdf/fs_mepo3.pdf,../plantguide/pdf/pg_mepo3.pdf,Yes,,"Fall, Winter and Spring",Low,No,No,Yellow,No,Dark Green,Porous,Brown,Yes,1.3,No,No,Short,High,Prostrate,None,None,Medium,Medium,5.9,8.2,None,Intolerant,Summer,No,No,Yes,,No,No,No,No,No
Medicago apiculata,,Medicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicago denticulata,,Medicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicago hispida,,Medicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicago hispida var. apiculata,,Medicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicago hispida var. confinis,,Medicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicago polycarpa,,Medicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicago polymorpha var. brevispina,,Medicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicago polymorpha var. ciliaris,,Medicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicago polymorpha var. polygyra,,Medicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicago polymorpha var. tricycla,,Medicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicago polymorpha var. vulgaris,,Medicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicago polymorpha f. apiculata,,Medicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicago sativa,alfalfa,Medicago,Fabaceae,Pea family,"Annual, Perennial",Forb/herb,../factsheet/pdf/fs_mesa.pdf,,Yes,,"Spring, Summer, Fall",High,No,No,Purple,Yes,Green,Moderate,Brown,No,2,Yes,No,Long,High,Erect,None,High,High,High,6,8.5,Medium,Intolerant,Summer,No,No,Yes,,No,No,No,No,No
Medicago sativa,alfalfa,Medicago,Fabaceae,Pea family,"Annual, Perennial",Forb/herb,../factsheet/pdf/fs_mesa.pdf,,Yes,Ladak,"Spring, Summer, Fall",Medium,No,Yes,Purple,No,Green,Moderate,Brown,No,1.6,Yes,No,Long,High,Erect,None,High,Medium,Medium,6.2,7.2,Medium,Intolerant,Summer,No,No,Yes,,No,No,No,No,No
Melianthus,melianthus,Melianthus,Melianthaceae,Melianthus family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melianthus major,honey-flower,Melianthus,Melianthaceae,Melianthus family,Perennial,"Forb/herb, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melica,melicgrass,Melica,Poaceae,Grass family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melica imperfecta,smallflower melicgrass,Melica,Poaceae,Grass family,Perennial,Graminoid,,,Yes,,Spring,None,No,No,Yellow,No,Green,Moderate,Brown,No,3.2,No,No,Moderate,None,Semi-Erect,None,High,Low,Low,6,7.8,Low,Intolerant,Spring,No,No,Yes,,No,No,No,No,No
Melica imperfecta var. flexuosa,,Melica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melica imperfecta var. minor,,Melica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melica imperfecta var. refracta,,Melica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melilotus,sweetclover,Melilotus,Fabaceae,Pea family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melilotus indicus,annual yellow sweetclover,Melilotus,Fabaceae,Pea family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melilotus indica,,Melilotus,,,,,,,Yes,,"Fall, Winter and Spring",Low,No,No,Yellow,Yes,Green,Moderate,Brown,No,2.5,No,No,,Medium,Erect,Moderate,Medium,Medium,Medium,6.1,8.2,Low,Intolerant,Spring,No,No,Yes,,No,No,No,No,No
Melilotus officinalis,sweetclover,Melilotus,Fabaceae,Pea family,"Annual, Biennial, Perennial",Forb/herb,,../plantguide/pdf/pg_meof.pdf,Yes,,Spring and Summer,Medium,No,No,Yellow,Yes,Green,Porous,Yellow,No,6,Yes,No,Short,Medium,Erect,Moderate,High,High,Medium,6.5,8.2,High,Intolerant,Fall,No,No,Yes,,No,No,No,No,No
Melilotus alba,,Melilotus,,,,,,,Yes,,Spring,Medium,No,No,White,Yes,Green,Porous,Yellow,No,5,Yes,No,Short,Medium,Erect,Moderate,High,High,Medium,6.5,8,High,Intolerant,Summer,No,No,Yes,,No,No,No,No,No
Melilotus albus,,Melilotus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melilotus albus var. annuus,,Melilotus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melilotus arvensis,,Melilotus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melilotus leucanthus,,Melilotus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melilotus lutea,,Melilotus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melilotus officinalis var. micranthus,,Melilotus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mentzelia,blazingstar,Mentzelia,Loasaceae,Loasa family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mentzelia affinis,yellowcomet,Mentzelia,Loasaceae,Loasa family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mentzelia dispersa,bushy blazingstar,Mentzelia,Loasaceae,Loasa family,Annual,Forb/herb,,../plantguide/pdf/cs_medi.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mentzelia micrantha,San Luis blazingstar,Mentzelia,Loasaceae,Loasa family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesembryanthemum,iceplant,Mesembryanthemum,Aizoaceae,Fig-marigold family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesembryanthemum crystallinum,common iceplant,Mesembryanthemum,Aizoaceae,Fig-marigold family,"Annual, Perennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gasoul crystallinum,,Gasoul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesembryanthemum nodiflorum,slenderleaf iceplant,Mesembryanthemum,Aizoaceae,Fig-marigold family,"Annual, Perennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gasoul nodiflorum,,Gasoul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micropus,cottonseed,Micropus,Asteraceae,Aster family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micropus californicus,q-tips,Micropus,Asteraceae,Aster family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombycilaena californica,,Bombycilaena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micropus californicus var. californicus,q-tips,Micropus,Asteraceae,Aster family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombycilaena californica var. californica,,Bombycilaena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microseris,silverpuffs,Microseris,Asteraceae,Aster family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microseris douglasii,Douglas' silverpuffs,Microseris,Asteraceae,Aster family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
